CustomerID,Recency,Frequency,Monetary
12346.0,326,1,77183.6
12378.0,130,1,4008.62
12383.0,185,5,1850.56
12405.0,149,1,1710.39
12424.0,163,2,1760.96
12501.0,337,1,2169.39
12502.0,96,5,3723.87
12585.0,234,2,2040.1
12590.0,211,2,9864.26
12625.0,212,2,2683.82
12643.0,128,6,3344.64
12653.0,149,2,2209.85
12669.0,151,3,2744.0299999999997
12688.0,114,1,4873.8099999999995
12754.0,236,3,3010.74
12755.0,281,2,3811.95
12758.0,117,2,2791.59
12764.0,317,1,1693.88
12840.0,144,4,2726.77
12853.0,135,6,1957.1000000000001
12916.0,139,4,2944.95
12967.0,358,2,1660.9
12980.0,158,9,7374.900000000001
13027.0,114,6,6912.0
13082.0,126,9,3613.63
13093.0,276,8,7832.47
13135.0,197,1,3096.0
13162.0,122,4,1688.29
13564.0,144,3,1724.67
13593.0,108,5,2011.88
13631.0,100,11,3070.42
13722.0,132,3,2375.41
13802.0,139,3,4599.42
13851.0,96,3,2651.46
13869.0,123,4,3083.65
13952.0,218,2,3251.071
14016.0,162,4,4341.21
14210.0,106,6,1905.8400000000001
14245.0,220,2,1693.45
14364.0,109,8,3717.35
14407.0,107,6,2157.73
14439.0,320,1,2661.24
14459.0,155,1,1837.92
14461.0,148,3,2103.06
14472.0,104,8,1852.67
14565.0,96,4,3099.12
14828.0,197,3,2139.76
14930.0,109,3,2362.96
14935.0,297,1,1784.71
15032.0,256,3,4959.1
15098.0,182,3,39916.5
15235.0,218,12,2247.51
15245.0,134,3,2515.84
15260.0,100,7,1810.77
15332.0,366,4,1661.06
15372.0,137,1,2007.3999999999999
15379.0,169,7,3703.29
15491.0,95,6,3100.09
15581.0,121,13,3675.77
15641.0,105,4,1887.2
15665.0,168,2,2222.21
15704.0,140,4,2293.62
15749.0,235,3,44534.3
15797.0,113,4,2207.4
15808.0,306,4,3651.27
15812.0,107,5,1801.14
16152.0,269,1,1829.04
16180.0,100,8,10254.18
16398.0,154,2,1705.8
16456.0,99,5,2158.18
16550.0,109,5,2298.97
16553.0,163,12,5719.82
16698.0,227,2,1998.0
16754.0,372,1,2002.4
16902.0,116,1,1706.88
16919.0,156,11,2592.25
17050.0,96,6,3185.64
17152.0,195,3,1689.5
17230.0,264,8,3638.41
17282.0,130,3,1685.46
17337.0,151,4,1981.06
17353.0,129,2,1740.0
17400.0,126,5,2097.84
17406.0,333,3,2184.42
17444.0,148,3,2940.04
17457.0,127,5,1737.7
17504.0,206,9,2997.0299999999997
17597.0,214,1,2044.3700000000001
17722.0,96,4,2424.04
17723.0,127,6,3276.4000000000005
17787.0,153,4,1817.54
17850.0,372,34,5391.21
18073.0,114,12,3859.82
18087.0,98,2,4055.7199999999993
18093.0,93,4,2106.52
18231.0,192,5,2071.77
18260.0,173,6,2628.35
